timestamp,x_value,y_value,z_value,heart_rate,temperature_c,action,prediction
2026-01-01 00:00:00,0.07,0.124,0.083,58,38.58,Low Movement,Healthy Sleep
2026-01-01 00:00:30,1.909,1.2,1.033,73,38.74,Moderate Movement,Healthy Activity
2026-01-01 00:01:00,0.347,0.336,0.296,59,38.18,Minimal Movement,Normal Rest
2026-01-01 00:01:30,0.097,0.084,0.088,52,37.87,Low Movement,Healthy Sleep
2026-01-01 00:02:00,0.171,0.41,0.373,74,38.31,Head Movement,Feeding Detected
2026-01-01 00:02:30,0.01,0.075,0.012,51,38.04,Low Movement,Healthy Sleep
2026-01-01 00:03:00,0.542,1.364,1.344,81,38.46,Moderate Movement,Healthy Activity
2026-01-01 00:03:30,0.317,0.236,0.295,54,38.11,Minimal Movement,Normal Rest
2026-01-01 00:04:00,1.728,1.614,0.992,74,38.2,Moderate Movement,Healthy Activity
2026-01-01 00:04:30,0.086,0.135,0.085,53,38.11,Low Movement,Healthy Sleep
2026-01-01 00:05:00,0.684,0.405,0.814,69,38.43,Head Movement,Feeding Detected
2026-01-01 00:05:30,1.643,1.637,1.242,70,38.75,Moderate Movement,Healthy Activity
2026-01-01 00:06:00,0.067,0.119,0.081,53,38.4,Low Movement,Healthy Sleep
2026-01-01 00:06:30,0.338,0.255,0.172,54,38.19,Minimal Movement,Normal Rest
2026-01-01 00:07:00,0.277,0.309,0.235,67,37.99,Minimal Movement,Normal Rest
2026-01-01 00:07:30,1.352,1.381,1.178,63,38.95,Moderate Movement,Healthy Activity
2026-01-01 00:08:00,0.736,1.219,1.414,68,38.47,Moderate Movement,Healthy Activity
2026-01-01 00:08:30,3.608,3.065,3.287,123,38.65,High Movement,Active State
2026-01-01 00:09:00,0.068,0.349,0.128,54,38.19,Minimal Movement,Normal Rest
2026-01-01 00:09:30,0.387,0.213,0.227,66,38.24,Minimal Movement,Normal Rest
2026-01-01 00:10:00,1.143,1.36,1.083,81,38.87,Moderate Movement,Healthy Activity
2026-01-01 00:10:30,3.13,3.567,3.049,90,39.28,High Movement,Active State
2026-01-01 00:11:00,0.963,1.098,0.701,78,38.57,Moderate Movement,Healthy Activity
2026-01-01 00:11:30,3.871,2.637,3.008,104,39.3,High Movement,Active State
2026-01-01 00:12:00,0.052,0.051,0.074,59,38.01,Low Movement,Healthy Sleep
2026-01-01 00:12:30,3.193,2.013,4.178,116,39.03,High Movement,Active State
2026-01-01 00:13:00,0.042,0.035,0.041,59,38.01,Low Movement,Healthy Sleep
2026-01-01 00:13:30,1.254,0.744,1.529,84,39.11,Moderate Movement,Healthy Activity
2026-01-01 00:14:00,0.289,0.752,0.841,74,38.58,Head Movement,Feeding Detected
2026-01-01 00:14:30,0.582,0.712,0.502,64,38.42,Head Movement,Feeding Detected
2026-01-01 00:15:00,0.051,0.108,0.095,48,38.03,Low Movement,Healthy Sleep
2026-01-01 00:15:30,0.914,1.267,1.168,77,38.69,Moderate Movement,Healthy Activity
2026-01-01 00:16:00,0.106,0.055,0.085,51,38.17,Low Movement,Healthy Sleep
2026-01-01 00:16:30,0.107,0.297,0.092,67,38.18,Minimal Movement,Normal Rest
2026-01-01 00:17:00,3.271,2.472,3.448,114,38.94,High Movement,Active State
2026-01-01 00:17:30,0.038,0.105,0.096,53,38.05,Low Movement,Healthy Sleep
2026-01-01 00:18:00,0.531,1.423,1.529,72,38.53,Moderate Movement,Healthy Activity
2026-01-01 00:18:30,0.315,0.176,0.243,57,38.24,Minimal Movement,Normal Rest
2026-01-01 00:19:00,1.508,1.087,1.457,64,38.43,Moderate Movement,Healthy Activity
2026-01-01 00:19:30,1.349,0.793,1.858,76,38.28,Moderate Movement,Healthy Activity
2026-01-01 00:20:00,0.098,0.071,0.094,59,38.01,Low Movement,Healthy Sleep
2026-01-01 00:20:30,1.135,1.335,1.618,66,38.69,Moderate Movement,Healthy Activity
2026-01-01 00:21:00,0.178,0.254,0.251,67,38.09,Minimal Movement,Normal Rest
2026-01-01 00:21:30,0.758,0.558,0.755,73,38.21,Head Movement,Feeding Detected
2026-01-01 00:22:00,0.575,0.496,0.795,67,38.42,Head Movement,Feeding Detected
2026-01-01 00:22:30,1.568,1.135,1.039,73,38.56,Moderate Movement,Healthy Activity
2026-01-01 00:23:00,0.227,0.203,0.351,58,37.78,Minimal Movement,Normal Rest
2026-01-01 00:23:30,0.035,0.062,0.076,53,38.01,Low Movement,Healthy Sleep
2026-01-01 00:24:00,1.142,1.12,1.135,78,38.59,Moderate Movement,Healthy Activity
2026-01-01 00:24:30,2.472,2.103,2.787,115,39.19,High Movement,Active State
2026-01-01 00:25:00,0.085,0.044,0.109,48,37.97,Low Movement,Healthy Sleep
2026-01-01 00:25:30,0.766,0.292,0.461,72,38.38,Head Movement,Feeding Detected
2026-01-01 00:26:00,1.195,1.688,1.375,77,38.36,Moderate Movement,Healthy Activity
2026-01-01 00:26:30,1.123,1.546,1.169,84,38.58,Moderate Movement,Healthy Activity
2026-01-01 00:27:00,0.581,1.122,1.466,83,38.48,Moderate Movement,Healthy Activity
2026-01-01 00:27:30,0.028,0.075,0.095,59,38.11,Low Movement,Healthy Sleep
2026-01-01 00:28:00,0.251,0.438,0.203,63,38.4,Minimal Movement,Normal Rest
2026-01-01 00:28:30,0.495,1.371,1.051,77,38.5,Moderate Movement,Healthy Activity
2026-01-01 00:29:00,0.06,0.086,0.083,48,37.72,Low Movement,Healthy Sleep
2026-01-01 00:29:30,1.671,1.308,0.898,71,38.38,Moderate Movement,Healthy Activity
2026-01-01 00:30:00,0.398,0.271,0.671,60,38.28,Head Movement,Feeding Detected
2026-01-01 00:30:30,1.043,0.518,1.241,63,38.6,Moderate Movement,Healthy Activity
2026-01-01 00:31:00,1.647,0.984,0.94,62,38.28,Moderate Movement,Healthy Activity
2026-01-01 00:31:30,1.313,0.696,1.337,73,38.21,Moderate Movement,Healthy Activity
2026-01-01 00:32:00,0.242,0.239,0.393,59,38.07,Minimal Movement,Normal Rest
2026-01-01 00:32:30,0.777,0.562,0.365,58,38.56,Head Movement,Feeding Detected
2026-01-01 00:33:00,2.658,1.196,2.742,117,39.02,High Movement,Active State
2026-01-01 00:33:30,1.702,1.734,0.83,69,38.44,Moderate Movement,Healthy Activity
2026-01-01 00:34:00,0.341,0.335,0.238,56,38.22,Minimal Movement,Normal Rest
2026-01-01 00:34:30,0.065,0.093,0.091,50,38.25,Low Movement,Healthy Sleep
2026-01-01 00:35:00,1.194,0.784,0.689,71,38.73,Moderate Movement,Healthy Activity
2026-01-01 00:35:30,0.282,0.671,0.631,64,38.52,Head Movement,Feeding Detected
2026-01-01 00:36:00,0.81,1.264,1.387,79,38.33,Moderate Movement,Healthy Activity
2026-01-01 00:36:30,0.738,0.627,0.534,58,38.57,Head Movement,Feeding Detected
2026-01-01 00:37:00,4.379,3.292,3.182,102,39.06,High Movement,Active State
2026-01-01 00:37:30,2.826,2.802,3.283,118,38.33,High Movement,Active State
2026-01-01 00:38:00,0.12,0.059,0.1,55,38.04,Low Movement,Healthy Sleep
2026-01-01 00:38:30,0.01,0.467,0.688,60,38.5,Head Movement,Feeding Detected
2026-01-01 00:39:00,0.534,0.475,0.755,63,38.36,Head Movement,Feeding Detected
2026-01-01 00:39:30,0.411,0.539,0.787,63,38.62,Head Movement,Feeding Detected
2026-01-01 00:40:00,1.303,0.942,0.81,78,38.43,Moderate Movement,Healthy Activity
2026-01-01 00:40:30,0.093,0.082,0.125,49,37.97,Low Movement,Healthy Sleep
2026-01-01 00:41:00,1.087,1.189,1.819,67,38.55,Moderate Movement,Healthy Activity
2026-01-01 00:41:30,0.513,0.228,0.325,58,38.52,Head Movement,Feeding Detected
2026-01-01 00:42:00,0.243,0.248,0.231,63,38.22,Minimal Movement,Normal Rest
2026-01-01 00:42:30,1.162,0.947,0.976,84,38.64,Moderate Movement,Healthy Activity
2026-01-01 00:43:00,2.957,2.226,3.437,90,38.89,High Movement,Active State
2026-01-01 00:43:30,1.454,1.577,1.234,82,38.33,Moderate Movement,Healthy Activity
2026-01-01 00:44:00,0.078,0.092,0.158,50,38.06,Low Movement,Healthy Sleep
2026-01-01 00:44:30,0.209,0.279,0.19,63,38.14,Minimal Movement,Normal Rest
2026-01-01 00:45:00,0.178,0.287,0.358,57,38.32,Minimal Movement,Normal Rest
2026-01-01 00:45:30,0.058,0.124,0.075,57,37.88,Low Movement,Healthy Sleep
2026-01-01 00:46:00,0.408,0.434,0.756,75,38.66,Head Movement,Feeding Detected
2026-01-01 00:46:30,1.598,1.143,0.75,67,38.55,Moderate Movement,Healthy Activity
2026-01-01 00:47:00,1.426,0.989,2.35,78,38.84,Moderate Movement,Healthy Activity
2026-01-01 00:47:30,0.083,0.06,0.086,52,37.9,Low Movement,Healthy Sleep
2026-01-01 00:48:00,0.162,0.153,0.055,53,38.12,Low Movement,Healthy Sleep
2026-01-01 00:48:30,0.32,0.292,0.259,61,38.02,Minimal Movement,Normal Rest
2026-01-01 00:49:00,1.308,1.708,1.663,72,38.4,Moderate Movement,Healthy Activity
2026-01-01 00:49:30,0.23,0.288,0.212,66,38.18,Minimal Movement,Normal Rest
2026-01-01 00:50:00,0.425,0.367,0.413,71,38.48,Head Movement,Feeding Detected
2026-01-01 00:50:30,1.01,1.256,1.207,69,38.55,Moderate Movement,Healthy Activity
2026-01-01 00:51:00,0.545,1.033,1.301,68,38.55,Moderate Movement,Healthy Activity
2026-01-01 00:51:30,0.255,0.184,0.16,63,38.27,Minimal Movement,Normal Rest
2026-01-01 00:52:00,4.178,2.965,2.779,96,39.47,High Movement,Active State
2026-01-01 00:52:30,0.12,-0.005,0.127,53,38.2,Low Movement,Healthy Sleep
2026-01-01 00:53:00,3.441,2.857,2.786,109,38.24,High Movement,Active State
2026-01-01 00:53:30,0.943,1.011,1.431,68,38.76,Moderate Movement,Healthy Activity
2026-01-01 00:54:00,2.448,2.663,3.154,101,38.72,High Movement,Active State
2026-01-01 00:54:30,0.702,1.322,0.855,71,38.5,Moderate Movement,Healthy Activity
2026-01-01 00:55:00,0.814,0.595,0.387,74,38.28,Head Movement,Feeding Detected
2026-01-01 00:55:30,0.244,0.331,0.188,57,38.25,Minimal Movement,Normal Rest
2026-01-01 00:56:00,0.183,0.208,0.338,61,38.14,Minimal Movement,Normal Rest
2026-01-01 00:56:30,2.6,3.961,2.959,106,39.34,High Movement,Active State
2026-01-01 00:57:00,0.87,1.418,1.039,69,38.47,Moderate Movement,Healthy Activity
2026-01-01 00:57:30,1.524,0.691,0.269,63,38.4,Moderate Movement,Healthy Activity
2026-01-01 00:58:00,1.156,1.116,1.456,65,38.55,Moderate Movement,Healthy Activity
2026-01-01 00:58:30,1.397,0.888,0.807,68,38.28,Moderate Movement,Healthy Activity
2026-01-01 00:59:00,0.144,0.365,0.231,65,38.19,Minimal Movement,Normal Rest
2026-01-01 00:59:30,1.362,1.343,1.081,72,38.21,Moderate Movement,Healthy Activity
2026-01-01 01:00:00,0.046,0.102,0.109,53,38.06,Low Movement,Healthy Sleep
2026-01-01 01:00:30,2.605,3.291,1.998,98,39.29,High Movement,Active State
2026-01-01 01:01:00,2.474,3.201,3.05,94,39.0,High Movement,Active State
2026-01-01 01:01:30,0.337,0.323,0.238,53,38.33,Minimal Movement,Normal Rest
2026-01-01 01:02:00,0.929,1.461,1.033,68,38.38,Moderate Movement,Healthy Activity
2026-01-01 01:02:30,4.231,2.188,1.921,101,39.23,High Movement,Active State
2026-01-01 01:03:00,0.965,0.806,0.308,73,38.22,Head Movement,Feeding Detected
